id,drive_file_id,name,mime_type,size,created_time,modified_time,web_view_link,is_shared,synced_at
4745,1iIe9m_0Xr-EBLO5Ublsmbhx9FapHz-LQ,Brian Graubard Bio.pptx,application/vnd.openxmlformats-officedocument.presentationml.presentation,644994,2024-05-31 18:13:26.64,2024-05-29 14:31:52,https://docs.google.com/presentation/d/1iIe9m_0Xr-EBLO5Ublsmbhx9FapHz-LQ/edit?usp=drivesdk&ouid=104838235178671148782&rtpof=true&sd=true,t,2025-10-06 14:34:47.026626
4746,11pwPasY2nRI0myMZ26GYnFACWiVyhTnQ,Brian Graubard Portrait.jpg,image/jpeg,4280121,2024-05-31 18:13:51.661,2024-05-29 14:17:16,https://drive.google.com/file/d/11pwPasY2nRI0myMZ26GYnFACWiVyhTnQ/view?usp=drivesdk,t,2025-10-06 14:34:47.026626
4747,1BMzJ5X7VbfKizLeNt7ldyh7xBrq3zJek,leadership Quotes Content (31).png,image/png,1006429,2024-05-23 02:54:43.765,2024-05-23 02:54:09,https://drive.google.com/file/d/1BMzJ5X7VbfKizLeNt7ldyh7xBrq3zJek/view?usp=drivesdk,t,2025-10-06 14:34:47.026626
4748,16iItqjVdydS5FFq8taVHySmXaiNXYtxZ,leadership Quotes Content (30).png,image/png,466355,2024-05-23 02:48:50.014,2024-05-23 02:46:43,https://drive.google.com/file/d/16iItqjVdydS5FFq8taVHySmXaiNXYtxZ/view?usp=drivesdk,t,2025-10-06 14:34:47.026626
4749,1DRLuWxbkK2LTMR6P_NUAPWSLQhSnfElr,leadership Quotes Content (29).png,image/png,695124,2024-05-23 02:41:36.252,2024-05-23 02:41:20,https://drive.google.com/file/d/1DRLuWxbkK2LTMR6P_NUAPWSLQhSnfElr/view?usp=drivesdk,t,2025-10-06 14:34:47.026626
4750,1fccDItEj3jecaUUbrZ1n0Z7HApXIHBSA,leadership Quotes Content (28).png,image/png,652491,2024-05-23 02:38:01.289,2024-05-23 02:37:14,https://drive.google.com/file/d/1fccDItEj3jecaUUbrZ1n0Z7HApXIHBSA/view?usp=drivesdk,t,2025-10-06 14:34:47.026626
4751,1ImdDJL6NbEfPAsQOmPus6DExX9dYqzEr,Website,application/vnd.google-apps.folder,0,2024-05-23 02:34:20.127,2024-05-23 02:34:20.127,https://drive.google.com/drive/folders/1ImdDJL6NbEfPAsQOmPus6DExX9dYqzEr,t,2025-10-06 14:34:47.026626
4752,17ykQ7bP3m-JTwv81sKtvA-boBASCBxSi,Socials,application/vnd.google-apps.folder,0,2024-05-23 02:34:10.883,2024-05-23 02:34:10.883,https://drive.google.com/drive/folders/17ykQ7bP3m-JTwv81sKtvA-boBASCBxSi,t,2025-10-06 14:34:47.026626
4753,1xqDf4iMiBICUNAXt0yjoSUhaj7qhc8Ti,leadership Quotes Content (27).png,image/png,687197,2024-05-23 02:34:40.254,2024-05-23 02:33:23,https://drive.google.com/file/d/1xqDf4iMiBICUNAXt0yjoSUhaj7qhc8Ti/view?usp=drivesdk,t,2025-10-06 14:34:47.026626
4754,1dlKjSe5bk0nHOoJ9GMuOk9Tv9XUr0ZUC,leadership Quotes Content (26).png,image/png,615494,2024-05-23 02:30:14.517,2024-05-23 02:29:47,https://drive.google.com/file/d/1dlKjSe5bk0nHOoJ9GMuOk9Tv9XUr0ZUC/view?usp=drivesdk,t,2025-10-06 14:34:47.026626
4755,1fn8Rehg8NlRLqICj6jqgM_PfPVQUWuMy,Website,application/vnd.google-apps.folder,0,2024-05-23 00:55:39.91,2024-05-23 00:55:39.91,https://drive.google.com/drive/folders/1fn8Rehg8NlRLqICj6jqgM_PfPVQUWuMy,t,2025-10-06 14:34:47.026626
4756,138WMpOF5LnXOEyTIhMiIrQcrqCw_4LmQ,Socials,application/vnd.google-apps.folder,0,2024-05-23 00:55:19.552,2024-05-23 00:55:19.552,https://drive.google.com/drive/folders/138WMpOF5LnXOEyTIhMiIrQcrqCw_4LmQ,t,2025-10-06 14:34:47.026626
4757,15HKAs5tx88TPRUi2_IW7LX6Nf0mWs44r,leadership Quotes Content (25).png,image/png,681960,2024-05-23 00:24:37.912,2024-05-23 00:23:48,https://drive.google.com/file/d/15HKAs5tx88TPRUi2_IW7LX6Nf0mWs44r/view?usp=drivesdk,t,2025-10-06 14:34:47.026626
4759,1Arl9rsHN-CWzfU5-fGn6--1NTs65ESGx,leadership Quotes Content (23).png,image/png,849391,2024-05-23 00:12:42.18,2024-05-23 00:11:19,https://drive.google.com/file/d/1Arl9rsHN-CWzfU5-fGn6--1NTs65ESGx/view?usp=drivesdk,t,2025-10-06 14:34:47.026626
4760,1m4NRMNSJoUvrnnxcLY3fW2_1-jf24LwZ,leadership Quotes Content (22).png,image/png,827199,2024-05-23 00:09:45.673,2024-05-23 00:07:50,https://drive.google.com/file/d/1m4NRMNSJoUvrnnxcLY3fW2_1-jf24LwZ/view?usp=drivesdk,t,2025-10-06 14:34:47.026626
4761,1Aq1Pd5V9beGIbD_FR4QXmLgGfaP9i9cN,leadership Quotes Content (20).png,image/png,586890,2024-05-22 23:58:24.757,2024-05-23 00:00:19.834,https://drive.google.com/file/d/1Aq1Pd5V9beGIbD_FR4QXmLgGfaP9i9cN/view?usp=drivesdk,t,2025-10-06 14:34:47.026626
4762,16l4nITiwIguFeE7e3Y_5AduG3wjCF6on,leadership Quotes Content (21).png,image/png,576273,2024-05-23 00:02:10.069,2024-05-22 23:57:00,https://drive.google.com/file/d/16l4nITiwIguFeE7e3Y_5AduG3wjCF6on/view?usp=drivesdk,t,2025-10-06 14:34:47.026626
4763,1gnsG-JyXRTC58-uCwp3JUwNoP-wDBnF84Eb-jkL-8tE,Quotes,application/vnd.google-apps.document,2886,2024-05-22 01:51:41.987,2024-05-22 23:54:34.072,https://docs.google.com/document/d/1gnsG-JyXRTC58-uCwp3JUwNoP-wDBnF84Eb-jkL-8tE/edit?usp=drivesdk,t,2025-10-06 14:34:47.026626
4765,14H0SfiiCsiMl89WDxAax27WJ1Lixzxq6,leadership Quotes Content (17).png,image/png,569879,2024-05-22 23:43:34.429,2024-05-22 23:42:07,https://drive.google.com/file/d/14H0SfiiCsiMl89WDxAax27WJ1Lixzxq6/view?usp=drivesdk,t,2025-10-06 14:34:47.026626
2831,1YKDhz3yAOftdJnC-11PmdtcixKmyRhxz,P1059419.jpg,image/jpeg,13407220,2025-05-23 02:25:27.265,2025-05-23 02:25:27.963,https://drive.google.com/file/d/1YKDhz3yAOftdJnC-11PmdtcixKmyRhxz/view?usp=drivesdk,t,2025-10-06 14:29:52.219459
4766,1sDcge5HintepOA3GHmiCs3hfQ1ZRoAD5,leadership Quotes Content (16).png,image/png,534353,2024-05-22 23:43:35.564,2024-05-22 23:39:54,https://drive.google.com/file/d/1sDcge5HintepOA3GHmiCs3hfQ1ZRoAD5/view?usp=drivesdk,t,2025-10-06 14:34:47.026626
4767,1J2DJxiwA2vhQSvC8qLfDkVlDii0JEXX6,leadership Quotes Content (15).png,image/png,671232,2024-05-22 23:20:34.561,2024-05-22 23:19:37,https://drive.google.com/file/d/1J2DJxiwA2vhQSvC8qLfDkVlDii0JEXX6/view?usp=drivesdk,t,2025-10-06 14:34:47.026626
2832,1Yi_uE9KBm_pr6hmSLIpwMgMxCroG1dUx,P1059421.jpg,image/jpeg,13406790,2025-05-23 02:25:27.063,2025-05-23 02:25:27.539,https://drive.google.com/file/d/1Yi_uE9KBm_pr6hmSLIpwMgMxCroG1dUx/view?usp=drivesdk,t,2025-10-06 14:29:52.219459
2833,1X3oGnhQDMsRbGUX3mIlPdwaku0wXulTp,P1059418.jpg,image/jpeg,7522914,2025-05-23 02:25:26.96,2025-05-23 02:25:27.237,https://drive.google.com/file/d/1X3oGnhQDMsRbGUX3mIlPdwaku0wXulTp/view?usp=drivesdk,t,2025-10-06 14:29:52.219459
